Rank,Name,Lowest 9 Hole Gross,Event,Course
1,Corbin VandeSampel,44,Willie's Weekly Series - W4,Baker Park
2,Griffin Tondreau,45,Willie's Weekly Series - W1,Midland
3,Simeon Campbell,49,Willie's Weekly Series - W3,Midland
4,Trenton Terry,54,2023 Tremont Tees Classic,Baker Park
5,Willie Terry,55,2023 Tremont Tees Classic,Midland
6,Logan Zarvell,57,2023 Tremont Tees Classic,Baker Park
7,Sam Burkhart,58,Willie's Weekly Series - W3,Midland
8,Henry Burkhart,58,Willie's Weekly Series - W4,Midland
9,TJ Arzola,65,Willie's Weekly Series - W2,Midland
10,Brady Zarvell,NA,NA,NA
